hotel_class,name,id,locality,region
4.0,Le Meridien San Francisco,81204,San Francisco,CA
4.0,JW Marriott San Francisco Union Square,81444,San Francisco,CA
4.0,San Francisco Marriott Union Square,124765,San Francisco,CA
3.0,Petite Auberge a Joie de Vivre Hotel,113940,San Francisco,CA
4.0,Grand Hyatt San Francisco,80999,San Francisco,CA
3.0,The Kensington Park Hotel,112347,San Francisco,CA
3.0,Cornell Hotel de France,80937,San Francisco,CA
4.5,InterContinental San Francisco,676408,San Francisco,CA
4.0,The Huntington Hotel & Nob Hill Spa,115625,San Francisco,CA
2.8850684495383634,Metro Hotel,310867,San Francisco,CA
2.0,San Francisco at The Presidio Travelodge,81511,San Francisco,CA
2.8850684495383634,Hotel Mayflower,501344,San Francisco,CA
3.5,Radisson Hotel & Suites Austin Downtown,98457,Austin,TX
3.5,Embassy Suites Austin - Downtown/Town Lake Austin Texas,98420,Austin,TX
2.5,La Quinta Inn & Suites Austin Southwest at Mopac,108965,Austin,TX
3.0,aloft Austin at the Domain,1174687,Austin,TX
2.5,Country Inn & Suites By Carlson Austin-North,240526,Austin,TX
3.0,SpringHill Suites Austin South,223707,Austin,TX
3.0,Residence Inn Austin South,108961,Austin,TX
2.0,Extended Stay America - Austin - Southwest,247103,Austin,TX
3.0,Holiday Inn Austin NW Plaza/Arboretum,98433,Austin,TX
2.5,La Quinta Inn Austin Capitol,108964,Austin,TX
2.5,Baymont Inn & Suites Austin South,73759,Austin,TX
2.0,Extended Stay America - Austin - Downtown - Town Lake,217735,Austin,TX
2.8850684495383634,Sands Motel of Austin,291290,Austin,TX
2.0,Crossland Economy Studios - Austin - West,109001,Austin,TX
2.0,Extended Stay America - Austin - Round Rock - South,285294,Austin,TX
2.8850684495383634,Motel 6 Austin North,226433,Austin,TX
2.5,Baymont Inn Austin North / Austin Highland Mall,98441,Austin,TX
2.0,Crestwood Suites Austin,223684,Austin,TX
2.8850684495383634,Budget Lodge of Austin,1221539,Austin,TX
2.5,Quality Inn & Suites Airport,108990,Austin,TX
2.0,Comfort Suites Downtown South,142349,Austin,TX
2.8850684495383634,The Oak Inn,98462,Austin,TX
2.8850684495383634,Wellesley Inn & Suites Austin Town Lake,111390,Austin,TX
2.8850684495383634,Hawthorn Suites - Austin South,108994,Austin,TX
2.8850684495383634,Country Garden Inn and Suites,108974,Austin,TX
2.0,Super 8 Motel Austin Downtown,608007,Austin,TX
2.8850684495383634,Hearthside Extended Stay Studios and Suites,223685,Austin,TX
2.8850684495383634,Walnut Forest Motel,220077,Austin,TX
2.5,La Quinta Inn Austin North,108991,Austin,TX
2.0,Ramada Limited Austin North,108975,Austin,TX
2.8850684495383634,Economy Inn Austin,656307,Austin,TX
2.5,Mountain Star Lodge and Hotel,288725,Austin,TX
2.8850684495383634,"Hawthorn Suites by Wyndham Austin, Riverside Dr",223683,Austin,TX
2.5,Extended Stay America - Austin - Northwest - Research Park,217730,Austin,TX
2.8850684495383634,Capital Inn,108986,Austin,TX
2.8850684495383634,Motel 6 Austin South - Airport,243922,Austin,TX
2.8850684495383634,Best Value Inn Austin South,98472,Austin,TX
2.8850684495383634,BEST WESTERN PLUS Austin City Hotel,109008,Austin,TX
2.0,La Quinta Inn Austin Oltorf,98443,Austin,TX
2.8850684495383634,Motel 6 Austin Central - North,226434,Austin,TX
2.8850684495383634,National at Camden Stoneleigh,1147269,Austin,TX
2.8850684495383634,Motel 71,288724,Austin,TX
2.8850684495383634,Live Oak Inn,290548,Austin,TX
2.8850684495383634,Kensington Motor Lodge,98437,Austin,TX
2.8850684495383634,Hyatt Place Austin Downtown,3531459,Austin,TX
2.8850684495383634,Home Style Inn,290544,Austin,TX
2.8850684495383634,Hampton Inn Austin Oak Hill,3530783,Austin,TX
